无锡市安民康复医院	无锡安民康复医院
西藏自治区皮肤病防治所	
拉萨市人民医院〓西藏大学附属拉萨医院	拉萨市人民医院西藏大学附属拉萨医院
拉萨市妇幼保健院	
西藏自治区藏医院	
中国人民武警部队西藏总队医院	
西藏自治区第二人民医院	
西藏自治区人民医院	
中国人民解放军西藏军区总医院	
拉萨市堆龙德庆区人民医院	
当雄县人民医院	
曲水县医院	
揭阳市慢性病防治院揭阳市精神卫生防治中心	
揭阳安真妇产医院(民营)	
揭阳市妇幼保健院揭阳市妇女儿童医院	
揭阳市东山区第二人民医院	
揭阳市红十字会慈云医院	
惠来县慢性病防治站	
惠来县人民医院	
惠来县慈云中医院	
惠来县妇幼保健院	
惠来县葵峰医院	
揭阳市揭东区慢性病防治站	
揭阳市复退军人医院(原:汕头市复退军人医院)	
揭阳市揭东区中医院	
揭阳市揭东区人民医院	
揭阳市揭东区妇幼保健院	
揭西县骨伤科医院	
揭西县慢性病防治站	
揭西县人民医院	
揭西县中医院	
揭西县第二人民医院 揭西县棉湖华侨医院	
揭西县妇幼保健院	
普宁现代医院(民营)	
普宁市慢性病防治院	
普宁长江医院(民营)	
普宁市池尾叶树林华侨医院	
普宁市中医院〓普宁市骨伤科医院	
普宁市妇幼保健院	普宁市妇幼保健院
普宁市人民医院	
普宁华侨医院	
普宁市人民医院洪阳分院	
揭阳经济开发试验区人民医院	
中国人民解放军53503部队医院	
揭阳市普侨区人民医院	
揭阳市榕城区男性康复医院(民营)	
揭阳市榕城区慢性病防治院	
揭阳市榕城区红十字会医院	
揭阳东山医院(民营)	
揭阳仙桥骨伤科医院(民营)	
揭阳市中医院	
揭阳市东山区第一人民医院	
揭阳市榕城区妇幼保健院	
揭阳市榕城区人民医院	
揭阳市人民医院	
攀枝花市桥梁工程职工医院	
攀枝花光明医院(民营)	
攀枝花钢铁集团公司密地医院	
中国十九冶集团有限公司职工医院	
攀枝花钢铁集团公司职工总医院	
攀枝花市第五人民医院攀枝花学院附属医院攀枝花市中西医结合医院	攀枝花市第五人民医院攀枝花学院附属医院攀枝花市中西医结合医院
攀枝花市中心医院	攀枝花市中心医院
攀枝花友谊医院(民营)	
攀枝花市仁和区皮肤防治站	
攀枝花市第四人民医院攀枝花市性病防治中心	
攀枝花市仁和区妇幼保健院	
攀枝花市仁和区人民医院攀枝花市中心医院仁和分院	攀枝花市仁和区人民医院
攀枝花市第三人民医院攀枝花市精神卫生中心	
攀枝花市妇幼保健院	攀枝花市妇幼保健院
攀枝花市第二人民医院	
攀枝花市公路养护管理总段公路医院	
攀枝花市公路建设公司职工医院	
攀枝花学院附属铁路医院攀枝花市铁路医院	
攀枝花市仁和区民政中医院	
攀枝花盐边林业局职工医院	
盐边县中医院	
盐边县人民医院	
盐边县妇幼保健院	
普威林业局职工医院	
攀枝花市普威林业局职工医院	
米易县中医院	
米易县人民医院攀枝花市中心医院米易分院	
米易县妇幼保健院	
攀枝花市太平矿医院	
攀枝花市龙洞煤焦厂医院	
攀枝花市西区妇幼保健站	
攀煤集团公司总医院	
富宁县人民医院	
富宁县妇幼保健院	
广南县人民医院	广南县人民医院
广南县中医院	
广南县妇幼保健院	
文山州下沙坝精神病院	
文山天丹医院(民营)	
文山外联合医院(民营)	
文山新城骨科医院(民营)	
文山五官专科医院(民营)	
文山博农历医院(民营)	
文山外溪学会专家医院(民营)	
文山男科医院(民营)	
中国人民解放军第六十七中心医院	
文山州妇幼保健院	
文山州中医院	
文山州人民医院	文山州人民医院
平远医院	
平远农场医院	
砚山县中医院	
砚山县人民医院	
砚山县妇幼保健院	
西畴县人民医院	
西畴县妇幼保健院	
邱北县中医院	
邱北县人民医院	
邱北县妇幼保健院	
马关县中医院	
马关县人民医院	
马关县妇幼保健院	
麻栗坡县保健站	
麻栗坡县人民医院	
新乡市风泉区医院	
新乡市第三人民医院	
新乡市口腔医院	
新乡市平原医院	
新乡生殖医学专科医院(民营)	
新乡协合肾病医院(民营)	
新乡仁爱医院(民营)	
新乡市卫滨区妇幼保健站	
新乡市中医院	
新乡市第四人民医院(原:新乡铁路医院)	
新乡市第一人民医院	
河南省华新棉纺织厂职工医院	
卫辉市血液病医院(原:卫辉市康复医院)(民营)	
卫辉市中医院	
卫辉市人民医院	卫辉市人民医院
新乡医学院第一附属医院〓河南省结核病医院	新乡医学院第一附属医院河南省结核病医院
卫辉市汲水医院	
卫辉市妇幼保健院	
卫辉市第二人民医院	
卫辉市第二人民医院大池山分院	
卫辉市第二人民医院东拴马分院	
原阳县第三人民医院	
原阳县中医院	原阳县中医院
原阳县人民医院	
原阳县妇幼保健院	
原阳县第二人民医院	
封丘县眼科医院	
封丘县中医院	
封邱县人民医院	
封丘县妇幼保健院	
封丘县人民医院	封丘县人民医院
延津县精神病康复医院	
延津县眼科医院	
延津县中医院	延津县中医院
延津县人民医院	
延津县第二人民医院	
延津县妇幼保健院	
新乡县中医院	
新乡县人民医院	新乡县人民医院
新乡县妇幼保健院	新乡市妇幼保健院
新乡县第二人民医院	新乡市第二人民医院
新乡县龙华医院	
新乡市传染病医院	
新乡市公疗医院	
新乡市牧野区妇幼保健站	
新乡市郊区人民医院	
河南省荣军医院(原:河南第一荣康医院)	
新乡市新华区人民医院	
新乡医学院第二附属医院河南省精神病医院	新乡医学院第二附属医院（河南省精神病医院）
新乡市第二人民医院	新乡市第二人民医院
新乡医学院益民医院	
新乡市红旗区妇幼保健站	
新乡市眼科医院	
新乡市结核病防治所	
新乡市康复医院(原:新乡市按摩医院)	
新乡市妇幼保健院	新乡市妇幼保健院
新乡市红旗区人民医院	
中国人民解放军第三七一中心医院	中国人民解放军第三七一中心医院
新乡医学院第三附属医院	新乡医学院第三附属医院
新乡市中心医院(原:河南省第三人民医院)	新乡市中心医院(原:河南省第三人民医院)
获嘉县职工医院〓获嘉县心脑血管病医院	
获嘉县人民医院	
获嘉县中医院	
获嘉县第二人民医院	
获嘉县红十字会医院	获嘉县红十字会医院新乡同盟医院
获嘉县妇幼保健院	
获嘉县骨伤科医院	
获嘉县中医精神病院	
获嘉县妇幼保健院和计划生育服务中心	
中州铝厂职工医院	
辉县市公费医院辉县市心脑血管病专科医院	辉县市公费医院辉县市心脑血管病专科医院
辉县市第四人民医院(原:辉县市水利医院)	
辉县市第二人民医院	
辉县市妇幼保健院	
辉县市人民医院	
辉县市中医院	
辉县市第三人民医院	
妇幼保健院接种门诊	
河南宏力医院(民营)	
长垣永康中医院(民营)	永康市中医院
长垣友爱医院(民营)	
长垣德济中医院(民营) 	
长垣明华综合医院(民营)          	
长垣县精神病医院	
长垣博爱医院(民营)	
长垣国医堂医院(民营)	
长垣蒲康医院(民营)             	
长垣秋子生殖健康医院(民营)	
长垣县人民医院	
长垣县中医院	长垣县中医院
长垣县妇幼保健院	
长垣县第二人民医院	
新乡市风泉区妇幼保健站	
分宜县人民医院	
分宜县中医院	
分宜县妇幼保健院	
新钢公司第二医院	
武警水电第二总队医院	
新余市城西医院(原:江西钢丝厂职工医院)	
新余市第七医院(民营)	
新余市第四医院(民营)	新余市第四医院(民营)
江西省国营长林机械厂职工医院	
新余市渝水医院	
新余市第二医院(民营)	新余市第二医院(民营)
新余市妇幼保健院	新余市妇幼保健院
新钢中心医院	新钢中心医院
新钢公司第一医院	
花古山煤矿职工医院	
新余市渝水区妇幼保健院	
江西中医学院第八附属医院新余市中医院新余市中西医结合医院	江西中医学院第八附属医院新余市中医院新余市中西医结合医院
新余市人民医院〓南昌大学第六附属医院	新余市人民医院南昌大学第六附属医院
新余市第六医院新余市济困医院(原:新余纺织厂职工医院)	
新余市矿业医院花鼓山分院	
新疆兵团农六师五家渠市人民医院	新疆兵团农六师五家渠市人民医院
石河子市南山煤矿职工医院	
石河子兵团八师一五0团医院	
新疆兵团农八师一四二团职工医院	
新疆兵团农八师总场一医院	
新疆兵团农八师一四九团医院	
新疆兵团农八师一三二团职工医院	
新疆兵团农八师一四三团职工医院	
新疆兵团农八师一四七团医院	
石河子下野地人民医院	
新疆兵团农八师一四八团医院	
新疆兵团农八师一二一团职工医院	
新疆兵团农八师一三三团职工医院	
新疆兵团农八师一二二团职工医院	
新疆兵团农八师一三四团职工医院	
新疆兵团农八师一四四团职工医院	
石河子市八一棉纺织厂职工医院	
新疆兵团石河子人民医院石河子大学医学院第三附属医院	
石河子中医院(民营)	
石河子绿洲医院新疆兵团公安安康医院(原:石河子精神病院)	
石河子大学医学院第一附属医院	
石河子妇幼保健院	
新疆兵团农一师九团职工医院	
新疆兵团农一师十四团医院	
新疆兵团农一师十二团职工医院	
新疆兵团农一师阿拉尔市人民医院	阿拉尔市人民医院
武警八六九0医院	
无锡市煤矿医院	
宜兴市第四人民医院(原:宜兴市十里牌医院)	
宜兴市中西医结合医院〓宜兴市红塔医院(民营)	
宜兴市肿瘤医院〓宜兴市第三人民医院	
宜兴市仁济医院(民营)	
宜兴市皮肤病防治所宜兴市皮肤病医院	
宜兴市口腔医院	
宜兴市第二人民医院	宜兴市第二人民医院
宜兴市人民医院	宜兴市人民医院
宜兴市中医院	宜兴市中医院
宜兴市人民医院和桥分院〓宜兴市和桥医院	
宜兴市妇幼保健所	
无锡亿仁肿瘤医院(民营)	
无锡市惠山区人民医院	无锡市惠山区人民医院
无锡市惠山区第二人民医院(原:无锡市惠山区堰桥医院)	无锡市惠山区第二人民医院
无锡市惠山区职业病防治院	
无锡协和中西医结合医院(民营)	
无锡东方肛肠医院(民营)	
无锡二泉医院无锡市武警医院	
无锡玛丽亚医院(民营)	
无锡嘉仕恒信医院(民营)	
无锡市甲状腺乳房病医院	
无锡太湖中医院(民营)	太湖县中医院
无锡市仁德关怀医院	
无锡市北塘妇幼保健站	
无锡市崇安妇幼保健站	
无锡市皮肤病防治所	
无锡市南长妇幼保健站	
江苏省血吸(寄生)虫病防治研究所	
无锡瑞丽整形美容医院(民营)	
无锡商业医院	
无锡金城医院(民营)	
无锡建国医院(民营)	
江苏省无锡监狱医院	
无锡肛泰医院(民营)	
无锡东方肿瘤医院(民营)	
无锡同济医疗美容医院(民营)	
无锡虹桥医院(民营)	
无锡仁德医院(民营)	
无锡尚美整形美容医院(民营)	
无锡市慈善医院	
无锡市康复医院(原:无锡市北塘区人民医院)	
无锡市广益医院	
无锡市第九人民医院〓无锡市手外科(骨科)医院(原:无锡市滨湖区人民医院)	无锡市第九人民医院无锡市手外科(骨科)医院(原:无锡市滨湖区人民医院)
无锡市第八人民医院〓无锡市职业病防治医院(原:无锡市崇安人民医院)	无锡市第八人民医院
无锡市第五人民医院(原:无锡市肺科医院)	
无锡市老年病医院(原:无锡市南长人民医院)	
无锡市映山河儿童医院	
无锡市中医院〓南京中医药大学无锡附属医院	无锡市中医院
无锡市妇幼保健院	无锡市妇幼保健院
无锡市人民医院南京医科大学附属无锡第一医院无锡市儿童医院	无锡市人民医院南京医科大学附属无锡第一医院无锡市儿童医院
中国人民解放军第一0一医院无锡市太湖医院	
南通大学第三附属医院〓无锡市中西医结合医院〓无锡市第三人民医院	无锡市第三人民医院
无锡市第二人民医院〓南京医科大学附属无锡第二医院	无锡市第二人民医院
无锡市三院医疗集团黄巷医院无锡市太湖肿瘤医院	
无锡市南站医院无锡肾病治疗中心	
江阴红房子医院(民营)	
江阴市皮肤病防治所	
江阴市中西医结合胃病专科医院	
江阴东方女子医院(民营)	
江阴东方妇科医院(民营)	
江阴长江医院(民营)	
江阴九龙医院(民营)	
江阴市夕阳红护理院(民营)	
江阴市中西医结合妇产医院江阴市南闸医院	
江阴市卫康医院	
中国人民解放军第515(远望)医院	
江阴市人民医院(东区)(原:江阴市第二人民医院)	江阴市人民医院(东区)(原:江阴市第二人民医院)
江阴市人民医院〓南通大学附属江阴医院〓东南大学医学院附属江阴医院	江阴市人民医院
江阴市中医院〓南京中医药大学江阴附属医院	江阴市中医院
江阴市第四人民医院	江阴市第四人民医院
江阴市妇幼保健所	
江阴市第三人民医院	
无锡市水秀医院	
江苏省荣军医院	江苏省荣军医院
无锡旺庄医院	
无锡市第六人民医院	
无锡市新区凤凰医院(原:无锡市新区医院)	
无锡市第四人民医院〓苏州大学附属第四医院〓无锡市肿瘤医院	
南京医科大学无锡精神卫生中心〓无锡市第七人民医院〓无锡市精神卫生中心	
无锡市滨湖区中医院	无锡市滨湖区中医院
无锡市滨湖区荣巷医院〓无锡和平骨科医院	
无锡市滨湖区妇幼保健所	
无锡市精神病医院	
无锡市锡山区精神病院	
无锡市锡山区传染病医院	
无锡华山医院(民营)	
无锡市锡山区职业病防治院	
无锡市锡山区人民医院	无锡市锡山区人民医院
无锡市锡山区第二人民医院	
无锡市锡山人民医院分院(原:无锡市安镇医院)	无锡市锡山人民医院分院(原:无锡市安镇医院)
仁布县人民医院	
吉隆县人民医院	
定日县人民医院	定日县人民医院
定结县人民医院	
西藏自治区康马县人民医院	
拉孜县人民医院	
昂仁县藏医院	
昂仁县人民医院	
萨迦县人民医院	日喀则市萨迦县人民医院
西藏阿里地区人民医院	
日喀则地区藏医院	
日喀则地区人民医院	日喀则地区人民医院
东港区后村医院	
日照市东港区妇幼保健站	
日照市北经济开发区医院	
日照市岚山区妇幼保健院	
莒县精神康复医院	
五莲县精神病院	
五莲县第三人民医院	
五莲县第四人民医院	
五莲县黄金工业公司职工医院	
五莲县中医院	
五莲县第二人民医院	
五莲县妇幼保健院	五莲县妇幼保健院
日照市交通医院	
日照友谊医院(民营)	
日照风湿病骨病研究所(民营)	
日照亚太骨科医院(民营)	
中铁二十三局集团第一工程有限公司职工医院	
日照市结核病防治所	
日照华方中医院(民营)	
日照关爱医院(民营)	
日照仁爱医院(民营)	
日照市皮肤病防治所日照市皮肤病医院	
日照市中心医院(原:日照市东港区人民医院)	日照市中心医院
日照市港口医院	日照市港口医院
中铁十四局一处职工医院	
日照市妇幼保健院日照市妇女儿童医院	日照市妇幼保健院日照市妇女儿童医院
日照市第三人民医院日照市精神卫生中心日照市荣军康复医院	
日照市第二人民医院日照市岚山区人民医院	日照市第二人民医院日照市岚山区人民医院
日照市中医院	日照市中医院
日照市人民医院	日照市人民医院
日照市东港区妇幼保健院	
日照市北京路医院	
莒县眼科医院	
莒县神农医院(民营)	
莒县友爱医院(民营)	
莒县结核病防治所	
莒县中医正骨医院(民营)	
莒县精神卫生中心莒县精神病医院	
莒县皮肤病防治站	
莒县人民医院西院区	
莒县中医院	莒县中医院
莒县妇幼保健院莒县妇女儿童医院	莒县妇幼保健院莒县妇女儿童医院
日照市中心医院	日照市中心医院
五莲县人民医院	五莲县人民医院
莒县人民医院	莒县人民医院
昆明市东川区第一人民医院	
昆明市东川区中医院	
昆明市东川区第二人民医院(原:东川矿务局职工医院)	
昆明市东川区妇幼保健院	
昆明市精神病院	
云南省康复医院	
云南肾脏病医院	
昆明船舶设备研究试验中心职工医院	
昆明春城荣军古楼医院(民营)	
云南妇产科医院(民营)	
昆明医科大学附属康复医院	
昆明博大医院(民营)	
昆明市眼科医院(中外合资)	
昆明市妇科医院	
昆明肝病医院(民营)	
昆明恒康肿瘤医院(民营)	
昆明市五华区人民医院	
昆明市儿童医院	昆明市儿童医院
云南省老年病医院	
昆明和万家妇科医院(原:昆明和睦家妇科医院)(民营)	
昆明市五华区中医院	
成都军区昆明总医院	
云南省第一人民医院昆明医科大学附属昆华医院	云南省第一人民医院昆明医科大学附属昆华医院
昆明医科大学第二附属医院	昆明医科大学第二附属医院
昆明市第一人民医院昆明医科大学附属甘美医院	昆明市第一人民医院昆明医科大学附属甘美医院
昆明市妇幼保健院	
云南省第二人民医院云南省红十字会医院昆明医科大学第四附属医院	云南省第二人民医院云南省红十字会医院昆明医科大学第四附属医院
昆明医科大学第一附属医院云大医院	
中国人民解放军第五十七中心医院	
昆明市五华区妇幼保健所	
昆明市五华区红十字会医院	
昆明市呈贡区人民医院	
昆明市呈贡区中医院	
昆明市呈贡区妇幼保健所	
昆明结核病防治院	
安宁重生老年病医院(民营)	
云南省艾滋病关爱中心云南省传染病医院	
安宁市中医院	
安宁市人民医院	
安宁市妇幼保健院	
云南昆钢医院	
云南省荣誉军人康复医院	
昆明船舶集团公司职工医院	
云南中医学院第二附属医院(原:云南中医学院直属医院)	
云南航天工业公司疗养院	
云昆心理保健康复医院	
昆明东郊骨伤科医院(民营)	
云南协和医院(民营)	
云南玛莉亚女子医院(中外合资)	
云南国济医院(民营)	
昆明市中级人民法院直属医院昆明法医医院	
中国人民解放军第四七八医院(原:空军昆明医院)	
昆明市官渡区人民医院	
昆明市皮肤病防治院	
昆明市经开人民医院	昆明市经开人民医院
云南航天医院	
云南南疆医院(民营)	
昆明市官渡区中医院	
云南省第三人民医院(原:昆明铁路局中心医院)	云南省第三人民医院(原:昆明铁路局中心医院)
云南省精神病医院〓云南省精神卫生中心	
云南省妇幼保健院	
云南省交通中心医院云南省血栓病医院	云南省交通中心医院云南省血栓病医院
昆明市官渡区板桥中心医院	
宜良县脑病康复医院〓宜良县红十字会医院	
云南省可保煤矿职工医院	
宜良嘉华医院(民营)	
宜良福泰医院(民营)	
宜良县中医院	
宜良县人民医院	
宜良县妇幼保健所	
寻甸县第一人民医院	
寻甸县中医院	寻甸县中医院
寻甸县妇幼保健院	
寻甸县第二人民医院	
嵩明县妇幼保健站	
嵩明骨伤美容外科医院(民营)	
中国有色十四冶职工医院	
云南省四营煤矿职工医院	
嵩明县太平龙骨科医院(民营)	
嵩明县中医院	
嵩明县人民医院	
昆阳磷矿医院	
昆明市晋宁区中医院	
昆明市晋宁区人民医院	
昆明市晋宁区第二人民医院	晋宁县第二人民医院
昆明市晋宁区妇幼保健院	
昆明市南屏口腔医院	
昆明市口腔医院	
昆明同仁医院(民营)	
昆明市盘龙区人民医院	
中国人民解放军第五三三医院	
昆明市盘龙区中医院	
云南省中西医结合医院(原:云南林业中西医结合医院)	云南省中西医结合医院(原:云南林业中西医结合医院)
昆明市第二人民医院虹山分院	
昆明机床厂职工医院	
云南省监狱管理局中心医院	
云南中医学院第三附属医院〓昆明市中医院	
云南中医学院第一附属医院〓云南省中医院	
昆明医科大学附属延安医院昆明市延安医院	昆明医科大学附属延安医院昆明市延安医院
昆明市第三人民医院	
武警云南总队医院	
昆明市第二人民医院	昆明市第二人民医院
昆明市盘龙区红十字会医院	
昆明市盘龙区长春医院昆明市精神卫生防治医院	
昆明市盘龙区妇幼保健所	
石林县公安医院	
石林县妇幼保健站	
石林县人民医院	
石林县中医院	
禄劝忠爱医院(民营)	
禄劝现代医院(民营)	
禄劝中西医结合医院(民营)	
富民县妇幼保健所	
富民县人民医院	
禄劝县第一人民医院	
禄劝县中医院	禄劝县中医院
禄劝县妇幼保健所	
禄劝县第三人民医院	
禄劝县第二人民医院	
昆明官庄医院	
昆明市西山区皮肤病防治院	
昆明整形整容专科医院	
云南省第一人民医院温泉医院云南省干部疗养院,	
昆明南方医院(原:云南南方民族医院)(民营)	
云南平安中西医结合医院(民营)	
云南九州泌尿专科医院(民营)	
昆明泌尿专科医院(民营)	
昆明大滇医院(民营)	
昆明康华医院(民营)	
昆明男性专科医院(民营)	
昆明华希妇科医院(民营)	
昆明虹丽医学美容整形医院(民营)	
昆明妇科泌尿专科医院(民营)	
昆明大众眼科医院(民营)	
昆明远康医院(民营)	
昆明友谊医院(民营)	
昆明明珠医院(民营)	
云南省冶金医院(原:昆明冶金职业病防治院)	
昆明医科大学附属口腔医院	
云南皮肤病专科医院(民营)	
昆明华山眼科医院(民营)	
昆明美容整形专科医院(民营)	
云南国泰医院(民营)	
昆明万华医院(民营)	
昆明国防路医院(民营)	
昆明西昌路医院(民营)	
云南冶炼厂职工医院	
昆明滇宝医院(民营)	
昆明市西山区第三人民医院(原:昆明云磷集团公司中心医院)	
昆明中山医院(民营)	
昆明洪光医院(民营)	
昆明眼科医院(民营)	
云南省公安边防总队医院	
昆明和平医院	
昆明市西山区第二人民医院(原:云南光学仪器厂职工医院)	
昆明市西山区人民医院	
昆明市东川区精神病院	
国营西南仪器厂职工医院	
昆明市西山区中医院	
昆明医科大学第三附属医院云南省肿瘤医院	昆明医科大学第三附属医院云南省肿瘤医院
云南圣约翰医院(原:云南省建工医院)	
昆明市西山区妇幼保健所	
吉木萨尔县妇幼保健站	
吉木萨尔县中医院	
吉木萨尔县人民医院	
呼图壁县神农中医院	
呼图壁县静宁医院	
呼图壁县妇幼保健站	
呼图壁县精神病医院	
呼图壁县人民医院	呼图壁县人民医院
新疆兵团六师呼图壁县芳草湖农场医院	
中国人民解放军第十五医院	中国人民解放军第十五医院
奇台县人民医院	奇台县人民医院
奇台县中医院	
新疆兵团农六师奇台医院	新疆兵团农六师奇台医院
奇台县妇幼保健院	
昌吉州口腔病防治中心	
昌吉州结核病防治所	
新疆兵团农六师一0三团医院	
昌吉州人民医院传染病分院(原:昌吉州毛纺厂医院)	昌吉州人民医院传染病分院(原:昌吉州毛纺厂医院)
昌吉市人民医院	昌吉市人民医院
昌吉市妇幼保健院	
昌吉州人民医院	昌吉州人民医院
昌吉神农中医院	
昌吉市第二人民医院	
昌吉州中医院	昌吉州中医院
木垒县中医院	
木垒县人民医院	
木垒县妇幼保健院	
新疆兵团农六师玛纳斯县新湖农场医院	
玛纳斯县妇幼保健院	
玛纳斯县中医院	
玛纳斯县人民医院	
阜康准东石油医院	
新疆兵团二二二团医院	
阜康市妇幼保健院	
阜康市人民医院	阜康市人民医院
阜康市中医院	
玛曲县藏医医院	
玛曲县人民医院	
八宿县人民医院	
察雅县人民医院	察雅县人民医院
左贡县人民医院	
昌都地区藏医院	昌都地区藏医院
昌都地区人民医院	
洛隆县人民医院	
类乌齐县人民医院	
芒康县人民医院	
贡觉县人民医院	
贡觉县藏医院	
大关县人民医院	大关县人民医院
大关县中医院	
大关县妇幼保健院	
威信县中医院	
威信县人民医院	
威信县妇幼保健院	
巧家县妇幼保健站	
巧家县人民医院	
巧家县中医院	
彝良县人民医院	
彝良县中医院	
彝良县妇幼保健院	
昭通市精神病院	
昭通玛丽女子医院(民营)	
昭通建华医院(民营)	
昭通妇产科医院(民营)	
昭通中西结合医院(民营)	
昭通市第二人民医院	
昭通市第一人民医院北方医院	
昭通市妇幼保健院	昭通市妇幼保健院
昭通市第一人民医院	昭通市第一人民医院
昭通市中医院	昭通市中医院
水富云天医院(原:云天化集团公司职工医院)	
水富县人民医院	
水富县妇幼保健院	
永善县保健站	
永善县人民医院	永善县人民医院
永善县中医院	
盐津县中医院	
盐津县人民医院	盐津县人民医院
盐津县妇幼保健院	
绥江县中医院	
绥江县人民医院	
绥江县妇幼保健院	
镇雄县中医院	
镇雄县人民医院	镇雄县人民医院
镇雄县妇幼保健院	
鲁甸县人民医院	
鲁甸县中医院	鲁甸县中医院
鲁甸县妇幼保健院	云南昭通鲁甸妇幼保健院
介休纺织厂职工医院	
介休市北辛武乡整骨专科医院(民营)	
介休二轻医院	
介休市红十字博爱医院(民营)	
介休市妇幼保健院	介休市妇幼保健院
汾西矿业集团总医院	汾西矿业集团总医院
介休市第二人民医院(原:介休市卫校附属医院)	
介休市人民医院	介休市人民医院
晋中市第三人民医院晋中市肿瘤医院(原:介休铁路医院)	晋中市第三人民医院晋中市肿瘤医院(原:介休铁路医院)
介休市中医院	
和顺县城关医院	
和顺县人民医院	
和顺县中医院	
和顺县妇幼保健院	
太谷县城关医院	
太谷县人民医院	
太谷县中医院	
山西省荣军精神康宁医院	
晋中市第二人民医院	晋中市第二人民医院
太谷县妇幼保健院	
寿阳县职工医院	
寿阳县中医院	寿阳县中医院
寿阳县人民医院	寿阳县人民医院
寿阳县妇幼保健院	
左权县城关医院	
左权县中医院	
左权县人民医院	左权县人民医院
左权县妇幼保健院	
平遥县康复中心医院	
平遥县二轻职工医院	
平遥县城关医院	
平遥县第二人民医院平遥县中医院	
平遥县人民医院	平遥县人民医院
平遥县妇幼保健院	
昔阳县人民医院	昔阳县人民医院
昔阳县中医院	
昔阳县妇幼保健院	
晋中市榆次区口腔医院	
山西省锦纶厂职工医院	
山西省晋中电力医院	
晋中鹰华眼科医院(原:晋中眼科医院)(民营)	
晋中友谊医院(民营)	
武警8650部队医院	
晋中武警医院	
山西省经纬机械厂职工医院	
晋中市榆次区人民医院	晋中市榆次区人民医院
山西中医学院晋中中医院晋中市中医院	山西中医学院晋中中医院晋中市中医院
晋中晋华医院(原:山西省晋华纺织厂职工医院)	
晋中市榆次区中医院	
晋中市榆次区妇幼保健院	
晋中市第四人民医院晋中市脊柱外科医院(原:榆次铁路医院)	
晋中市第一人民医院	晋中市第一人民医院
晋中市妇幼保健院	晋中市妇幼保健院
晋中市榆次区第二人民医院	
榆社县荣军院	
榆社县人民医院	
榆社县中医院	
榆社县妇幼保健院	
灵石县商业医院	
灵石县城关镇医院	
灵石县人民医院	
灵石县妇幼保健院	
灵石县中医院	
祁县城关医院	
祁县中医院	祁县中医院
祁县妇幼保健院	
祁县人民医院	祁县人民医院
祁县第二人民医院〓祁县东观镇中心卫生院	
山西兰花集团唐安煤矿医院	
晋城慧泽医院(民营)	
晋城市北岩煤矿职工医院	
晋城市眼科医院	
晋城市康复医院	
晋城仁济中医院(民营)	
晋城口腔专科医院(民营)	
晋城市荣军康复医院	
晋城现代女子医院(民营)	
晋城市老年病专科医院	
晋城博康传染病医院(民营)	
晋城鹤翔疼痛专科医院(民营)	
晋城半边天妇科医院(民营)	
晋城安康烧伤专科医院(民营)	
晋城朝阳医院(民营)	
晋城市创伤骨科医院(原:晋城市晓庄骨科医院)(民营)	
晋城男科医院(民营)	
阳城县眼科医院	
晋城市职业病医院	
晋城博大生殖医学专科医院(民营)	
晋城同济中西医结合医院(民营)	
晋城协和医院(原:晋城市传染病医院)(民营)	
晋煤集团古书院矿医院	
晋城市城区中医院	
晋城市第三人民医院	
晋城心脑血管病医院(民营)	
晋城市第二人民医院晋城市城区人民医院	晋城市第二人民医院晋城市城区人民医院
晋煤集团王台铺矿医院晋煤集团长平医院	
晋城市城区妇幼保健院	
晋城大医院晋煤集团总医院	晋煤集团总医院晋城大医院
晋城市妇幼保健院晋城市儿童医院	晋城市妇幼保健院晋城市儿童医院
晋城市人民医院	晋城市人民医院
晋煤集团凤凰山矿医院	
沁水县武安创伤医院	
沁水县人民医院	沁水县人民医院
沁水县中医院	
沁水县第二人民医院	
沁水县妇幼保健院	
晋煤集团寺河矿医院	
晋城市莒山煤矿医院	
山西兰花集团科创大阳煤矿职工矿医院	
泽州县妇幼保健院	
泽州县人民医院	泽州县人民医院
泽州县第二人民医院(原:泽州县巴镇中心卫生院)	
晋煤集团成庄矿医院	
阳城县城关医院	
阳城县市职工医院	
阳城县人民医院	
阳城县妇幼保健院	
阳城县第二人民医院阳城县肿瘤医院	
阳城县中医院	
陵川县妇幼保健院	
陵川县中医院	
陵川县人民医院	陵川县人民医院
陵川县第二人民医院	
山西兰花集团望云煤矿医院	
高平市城区中医院	
山西兰花集团伯方煤矿医院	
高平市中医院	
高平市人民医院	高平市人民医院
高平市妇幼保健院	
墨江县林业局职工医院	
墨江县妇幼保健站	
墨江县人民医院	
墨江县中医院	
孟连县妇幼保健站	
普洱农场医院	
孟连县人民医院	孟连县人民医院
宁洱县人民医院	宁洱县人民医院
宁洱县妇幼保健院	
宁洱县中医院	
云南省寄生虫病防治所	
普洱市精神病院	
普洱市妇幼保健院	
中国人民解放军第六十二医院	
普洱市中医院	
普洱市人民医院	普洱市人民医院
景东县妇幼保健站	
景东县人民医院	景东县人民医院
景东县第二人民医院	
景谷县妇幼保健站	
景谷县人民医院	景谷县人民医院
景谷县中医院	
江城县妇幼保健站	
江城县人民医院	
澜沧县妇幼保健站	
澜沧县中医院	
澜沧县第一人民医院	澜沧县第一人民医院
澜沧县第二人民医院	
西盟县人民医院	
镇沅县保健站	
镇沅县人民医院	
乐平大连医院(民营)	
乐平精神病医院(民营)	
